Participant,Score,blink
Fatih Sultan Mehmet,24395
babapro2009,24135
gamze 2,23177
ARDIL YTÜ,22868
babaprogeldi,22566
renald,22556
Ferhat Kunduracı,22134
babapro2010,22069
simpy,20816
BB,20753
aSİL,20260
TheSpecialOneJoseMourinho,20079
jose mourinho the special one,19551
BMM,19475
Cemcem,19164
gamze,19146
alibabapro2005,19008
AhmetAAA,18995
rainbolt,18957
Ahmet,18867
MKB,18754
Rapper,18659
ali emre kaya 2023,18580
ren,18525
erthium,18053
light selami,17701
babaprogitti,16858
tuna,16249
sanzhar,16207
cemcemcem,16045
mehmet06,15755
kou,15732
asdasd,15723
salih,15677
turabi durabi ,15557
ı beat malenia,15484
hosasmek,15418
turabidurabisusabi ,14738
ARDIL,14393
Naim Çatıl,14197
elbagdhadi,13677
hasan,13606
bubabubabuba,13542
turabi ,13439
ikizler,13277
ab,13251
babapro2008,12922
turbo turabi ,12898
babapro,11730
kamil,11563
kamil itü,11431
atakan ytü,11311
yağız ,11297
     himket,11242
FatihTerimİmPARAtor,11226
mahmut,11178
Rainbolt,11039
nodev,11033
JoseMourinhoTheSpecialOne,10878
Turabi ,10255
kamil itü,10216
efeniga,10202
FYD,9686
turabi durabi susabi ,9412
babapro2007,7778
ATAKAN,7720
tuna,7358
mehmet emin çevik,7266
erthium,5977
